,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain
53,1042,2020,75,Portuguese Grand Prix,2020-10-25,1,131,66,1:29:56.828,1,hamilton,20.50546875,67.528125,4.040625,25.715625,False
54,1043,2020,21,Emilia Romagna Grand Prix,2020-11-01,1,131,63,1:28:32.430,1,hamilton,18.0304,71.1368,1.3416,23.2608,False
55,1044,2020,5,Turkish Grand Prix,2020-11-15,1,131,58,1:42:19.313,1,hamilton,13.09568345323741,80.1611510791367,1.0661870503597122,15.205755395683456,True
56,1045,2020,3,Bahrain Grand Prix,2020-11-29,1,131,57,2:59:47.515,1,hamilton,25.09907407407407,67.84722222222223,0.8430555555555557,27.548148148148147,False
57,1046,2020,3,Sakhir Grand Prix,2020-12-06,815,211,87,1:31:15.114,1,perez,20.947244094488195,58.169291338582674,1.9480314960629919,23.469291338582668,False
58,1047,2020,24,Abu Dhabi Grand Prix,2020-12-13,830,9,55,1:36:28.645,1,max_verstappen,23.121481481481478,55.44666666666667,2.504444444444444,27.98,False
59,1052,2021,3,Bahrain Grand Prix,2021-03-28,1,131,56,1:32:03.897,1,hamilton,20.53834586466165,54.517293233082704,0.8872180451127819,27.627819548872182,False
60,1053,2021,21,Emilia Romagna Grand Prix,2021-04-18,830,9,63,2:02:34.598,1,max_verstappen,10.621118012422361,69.4888198757764,0.4788819875776397,16.827329192546582,True
61,1054,2021,75,Portuguese Grand Prix,2021-05-02,1,131,66,1:34:31.421,1,hamilton,19.392537313432832,39.403731343283575,0.8373134328358208,38.950746268656715,False
62,1055,2021,4,Spanish Grand Prix,2021-05-09,1,131,66,1:33:07.680,1,hamilton,22.203076923076924,57.55307692307692,0.4576923076923077,32.9223076923077,False
63,1056,2021,6,Monaco Grand Prix,2021-05-23,830,9,78,1:38:56.820,1,max_verstappen,20.760740740740744,61.42444444444444,0.3162962962962963,37.595555555555556,False
64,1057,2021,73,Azerbaijan Grand Prix,2021-06-06,815,9,51,2:13:36.410,1,perez,24.17093023255814,55.80523255813954,0.2837209302325581,38.31453488372093,False
65,1059,2021,34,French Grand Prix,2021-06-20,830,9,53,1:27:25.770,1,max_verstappen,25.314399999999996,58.6304,1.1656,35.22879999999999,False
66,1058,2021,70,Styrian Grand Prix,2021-06-27,830,9,71,1:22:18.925,1,max_verstappen,26.692372881355933,33.246610169491525,0.36779661016949144,52.35254237288136,False
67,1060,2021,70,Austrian Grand Prix,2021-07-04,830,9,71,1:23:54.543,1,max_verstappen,20.96602564102564,49.73076923076923,0.34807692307692306,33.18397435897436,True
68,1061,2021,9,British Grand Prix,2021-07-18,1,131,52,1:58:23.284,1,hamilton,29.400000000000002,37.202173913043474,0.3179347826086957,50.93152173913043,False
69,1062,2021,11,Hungarian Grand Prix,2021-08-01,839,214,70,2:04:43.199,1,ocon,27.226701570680625,68.61570680628273,0.5675392670157068,37.822513089005234,True
70,1063,2021,13,Belgian Grand Prix,2021-08-29,830,9,1,3:27.071,1,max_verstappen,13.012413793103448,96.43586206896552,0.5113793103448276,15.258620689655173,True
71,1064,2021,39,Dutch Grand Prix,2021-09-05,830,9,72,1:30:05.395,1,max_verstappen,21.504430379746836,54.10822784810126,0.4424050632911392,36.10569620253165,False
72,1065,2021,14,Italian Grand Prix,2021-09-12,817,1,53,1:21:54.365,1,ricciardo,28.885234899328864,33.275838926174494,0.3429530201342281,43.52751677852349,False
73,1066,2021,71,Russian Grand Prix,2021-09-26,1,131,53,1:30:41.001,1,hamilton,19.13860759493671,61.947468354430384,0.2905063291139241,21.75696202531645,True
74,1067,2021,5,Turkish Grand Prix,2021-10-10,822,131,58,1:31:04.103,1,bottas,15.82547770700637,93.5248407643312,0.486624203821656,18.18089171974522,False
75,1069,2021,69,United States Grand Prix,2021-10-24,830,9,56,1:34:36.552,1,max_verstappen,28.148447204968942,61.192546583850934,0.8540372670807453,37.47080745341616,False
76,1070,2021,32,Mexico City Grand Prix,2021-11-07,830,9,71,1:38:39.086,1,max_verstappen,21.206707317073167,31.2109756097561,0.3664634146341464,47.579268292682926,False
77,1071,2021,18,São Paulo Grand Prix,2021-11-14,1,131,71,1:32:22.851,1,hamilton,23.1373417721519,60.10126582278481,0.3917721518987342,51.56139240506329,False
78,1051,2021,78,Qatar Grand Prix,2021-11-21,1,131,57,1:24:28.471,1,hamilton,26.41513157894737,75.54013157894737,0.42302631578947364,30.60328947368421,True
79,1072,2021,77,Saudi Arabian Grand Prix,2021-12-05,1,131,50,2:06:15.118,1,hamilton,28.816062176165804,76.20310880829015,0.27150259067357513,31.68497409326425,False
80,1073,2021,24,Abu Dhabi Grand Prix,2021-12-12,830,9,58,1:30:17.345,1,max_verstappen,24.519108280254777,59.05477707006369,0.4146496815286624,28.465605095541402,False
81,1074,2022,3,Bahrain Grand Prix,2022-03-20,844,6,57,1:37:33.584,1,leclerc,23.617791411042944,29.49079754601227,0.3049079754601227,28.61042944785276,False
