,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Unnamed: 0.1,Unnamed: 0,year,name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain,Temperature (F),Heat Index
66,23848,992,4,1,14,12,7,7,7,6.0,51,+10.931,6235222,32,12,1:47.449,201.126,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
67,23849,992,840,3,18,10,8,8,8,4.0,51,+12.546,6236837,50,8,1:46.815,202.319,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
68,23850,992,838,1,2,16,9,9,9,2.0,51,+14.152,6238443,50,13,1:47.666,200.720,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
69,23851,992,843,5,28,19,10,10,10,1.0,51,+18.030,6242321,51,17,1:48.288,199.567,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
70,23852,992,828,15,9,18,11,11,11,0.0,51,+18.512,6242803,51,14,1:47.925,200.239,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
71,23853,992,842,5,10,17,12,12,12,0.0,51,+24.720,6249011,38,15,1:48.035,200.035,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
72,23854,992,825,210,20,15,13,13,13,0.0,51,+40.663,6264954,35,16,1:48.155,199.813,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
73,23855,992,822,131,77,3,\N,R,14,0.0,48,\N,\N,37,1,1:45.149,205.525,29,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
74,23856,992,154,210,8,20,\N,R,15,0.0,42,\N,\N,34,10,1:46.880,202.196,3,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
75,23857,992,830,9,33,5,\N,R,16,0.0,39,\N,\N,31,5,1:45.771,204.316,4,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
76,23858,992,817,9,3,4,\N,R,17,0.0,39,\N,\N,34,3,1:45.419,204.999,4,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
77,23859,992,807,4,27,14,\N,R,18,0.0,10,\N,\N,10,18,1:48.867,198.506,3,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
78,23860,992,839,10,31,7,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
79,23861,992,845,3,35,11,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
80,23862,993,1,131,44,1,1,1,1,25.0,66,1:35:29.972,5729972,64,3,1:19.133,211.770,1,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
81,23863,993,822,131,77,2,2,2,2,18.0,66,+20.593,5750565,56,5,1:19.478,210.850,1,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
82,23864,993,830,9,33,5,3,3,3,15.0,66,+26.873,5756845,62,4,1:19.422,210.999,1,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
83,23865,993,20,6,5,3,4,4,4,12.0,66,+27.584,5757556,61,2,1:19.128,211.783,1,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
84,23866,993,817,9,3,6,5,5,5,10.0,66,+50.058,5780030,61,1,1:18.441,213.638,1,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
85,23867,993,825,210,20,7,6,6,6,8.0,65,\N,\N,64,6,1:20.246,208.832,11,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
86,23868,993,832,4,55,9,7,7,7,6.0,65,\N,\N,61,9,1:21.324,206.064,11,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
87,23869,993,4,1,14,8,8,8,8,4.0,65,\N,\N,64,7,1:20.727,207.588,11,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
88,23870,993,815,10,11,15,9,9,9,2.0,64,\N,\N,43,8,1:21.128,206.562,12,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
89,23871,993,844,15,16,14,10,10,10,1.0,64,\N,\N,51,14,1:22.122,204.062,12,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
90,23872,993,840,3,18,18,11,11,11,0.0,64,\N,\N,60,12,1:22.095,204.129,12,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
91,23873,993,843,5,28,20,12,12,12,0.0,64,\N,\N,63,10,1:21.439,205.773,12,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
92,23874,993,828,15,9,17,13,13,13,0.0,64,\N,\N,50,15,1:22.487,203.159,12,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
